Designator,Mid X,Mid Y,Rotation,Layer
C1,106.5694,-62.916,180.0,top
C10,128.257,-72.5895,180.0,top
C11,120.02,-73.1025,90.0,top
C12,139.332,-117.673302,180.0,top
C13,138.759998,-109.528402,90.0,top
C14,135.705,-105.63,180.0,top
C15,131.02,-98.424098,0.0,top
C16,119.365798,-114.733203,180.0,top
C2,106.9584,-51.536,180.0,top
C3,107.8834,-50.29,0.0,top
C4,128.0444,-52.848,180.0,top
C5,127.1744,-54.88,180.0,top
C6,122.8906,-50.2064,180.0,top
C7,118.7504,-47.034,90.0,top
C8,125.357,-82.2415,180.0,top
C9,125.357,-84.7815,180.0,top
CN1,114.9434,-67.954,90.0,top
CN2,140.3484,-67.93,90.0,top
D1,108.9334,-55.43,180.0,top
D2,131.05,-78.1955,90.0,top
D3,118.0634,-89.774,90.0,top
D4,128.5688,-104.588502,90.0,top
D5,119.845798,-117.998003,270.0,top
D6,116.340598,-102.588401,270.0,top
D7,119.845798,-110.027603,270.0,top
DC1,163.3,-110.2,0.0,top
DSub1,166.11,-63.12,0.0,top
F2,119.845798,-103.075901,90.0,top
J1,104.369,-109.02,270.0,top
J2,103.5175,-94.745,270.0,top
L1,110.1094,-59.18,0.0,top
L2,128.7,-62.708,180.0,top
Q1,136.3509,-46.105,180.0,top
Q2,131.1884,-49.9865,270.0,top
Q3,128.686,-111.178201,270.0,top
R1,106.9584,-52.806,180.0,top
R10,123.462,-72.7975,180.0,top
R11,133.5734,-46.105,270.0,top
R12,135.4884,-50.9765,90.0,top
R13,131.1884,-52.67,0.0,top
R14,133.7884,-50.9765,90.0,top
R15,147.95,-76.405,270.0,top
R16,147.95,-79.515,90.0,top
R17,125.3176,-110.818201,90.0,top
R18,125.3176,-106.047002,90.0,top
R19,131.988,-110.240701,90.0,top
R2,103.5,-58.292,90.0,top
R20,137.297498,-113.504,180.0,top
R5,126.6244,-46.353,90.0,top
R6,124.1992,-51.5065,0.0,top
R7,122.4284,-48.1114,90.0,top
R8,119.5754,-53.102,180.0,top
R9,123.967,-71.2675,270.0,top
U1,106.0994,-60.2545,180.0,top
U2,127.5744,-50.1865,0.0,top
U3,119.7004,-50.1865,270.0,top
U4,125.872,-77.0795,270.0,top
U5,135.391999,-109.103201,180.0,top
USB1,164.72575,-92.65,90.0,top
USB2,147.06175,-92.65,90.0,top
